001,01,34,52.47,-01,04,37.9,23.322,0.543,21.412,0.051,19.488,0.015,18.217,0.009,17.508,0.016,99.999,9.999,16.024,0.076,15.467,0.100,15.478,0.188,0.378,22.397
2,7,50,2.47,21,15,21.3,24.705,1.027,22.109,0.119,20.301,0.036,19.063,0.019,18.45,0.036,99.999,9.999,16.976,0.152,16.405,0.212,16.345,0.305,0.604,24.2
3,8,22,33.87,17,0,16.5,24.883,0.589,21.612,0.048,19.211,0.012,17.871,0.008,17.139,0.011,99.999,9.999,15.717,0.059,15.517,0.1,15.619,0.218,0.597,23.078
4,8,30,51.71,36,12,55.5,23.071,0.505,20.19,0.022,18.179,0.008,16.968,0.005,16.275,0.007,99.999,9.999,14.907,0.036,14.536,0.051,14.338,0.059,0.799,22.682
5,8,35,26.17,39,29,14.6,23.456,0.651,21.947,0.086,19.858,0.022,18.784,0.013,18.151,0.026,99.999,9.999,16.763,0.148,16.684,0.263,17.242,9.999,0.292,22.196
6,8,43,58.5,6,0,38.6,22.357,0.239,19.71,0.014,17.814,0.006,16.721,0.005,16.086,0.008,99.999,9.999,14.757,0.039,14.298,0.04,14.061,0.055,0.463,21.157
7,8,46,48.89,30,28,1.8,23.157,0.479,20.504,0.025,18.513,0.008,17.467,0.006,16.847,0.01,99.999,9.999,15.675,0.073,14.939,0.092,15.061,0.149,0.383,21.424
8,8,55,0.38,35,41,7.5,25.076,0.735,21.671,0.052,19.879,0.019,18.541,0.01,17.803,0.016,99.999,9.999,16.425,0.111,15.868,0.16,15.86,0.205,0.476,23.279
9,8,55,48.71,36,36,1.4,24.245,1.556,22.083,0.141,19.794,0.032,18.527,0.017,17.806,0.028,99.999,9.999,16.386,0.103,16.044,0.183,15.823,0.22,0.212,21.377
10,8,58,38.92,9,19,57.7,22.578,0.322,21.695,0.068,19.85,0.02,17.841,0.007,16.822,0.01,99.999,9.999,15.255,0.055,14.827,0.085,14.571,0.081,0.212,21.498
11,9,3,7.94,8,42,43.1,22.304,0.187,19.017,0.009,17.073,0.005,15.961,0.005,15.331,0.005,99.999,9.999,13.995,0.023,13.58,0.026,13.411,0.042,0.591,20.919
12,9,4,23.07,46,38,18.6,24.954,1.101,21.492,0.067,19.638,0.017,18.35,0.01,17.488,0.014,99.999,9.999,16.096,0.079,15.573,0.108,15.44,0.157,0.357,22.395
13,9,7,41.8,46,20,35.1,24.746,0.943,21.882,0.086,20.09,0.024,18.571,0.011,17.825,0.02,99.999,9.999,16.071,0.12,15.802,0.185,15.5,9.999,0.318,22.576
14,9,9,3.58,19,41,43.6,21.962,0.195,19.534,0.013,17.758,0.006,16.31,0.006,15.47,0.006,99.999,9.999,14.065,0.032,13.575,0.034,13.396,0.035,0.388,20.751
15,9,40,43.35,39,40,35.2,23.457,0.533,21.516,0.047,19.526,0.016,18.352,0.01,17.7,0.021,99.999,9.999,16.443,0.12,16.129,9.999,15.87,0.244,0.467,22.877
16,10,12,0.28,20,46,11.6,23.63,0.547,21.871,0.06,19.668,0.015,18.26,0.009,17.466,0.013,99.999,9.999,16.213,0.072,15.692,0.094,15.693,0.177,0.386,22.616
17,10,27,57.77,34,1,46.8,24.693,0.982,22.293,0.1,20.352,0.027,18.598,0.01,17.677,0.016,99.999,9.999,16.158,0.1,15.797,0.161,15.892,0.287,0.493,23.806
18,10,44,10.01,30,1,42.3,25.174,0.762,22.482,0.107,20.535,0.033,19.25,0.018,18.713,0.038,99.999,9.999,16.895,0.189,16.264,0.218,16.22,0.308,0.435,23.676
19,10,46,57.93,-1,37,46.4,25.131,0.772,22.025,0.08,20.208,0.027,18.812,0.014,17.946,0.021,99.999,9.999,16.487,0.129,15.924,0.214,15.841,0.304,1.872,26.587
20,11,11,47.19,27,25,16.7,24.072,0.735,21.798,0.058,20.001,0.02,18.905,0.014,18.26,0.026,99.999,9.999,16.828,0.144,16.206,0.168,17.082,9.999,0.288,22.287
21,11,19,29.2,67,21,4.1,24.381,1.057,22.538,0.149,20.523,0.036,19.175,0.018,18.485,0.034,99.999,9.999,16.833,0.161,16.196,0.212,16.207,0.39,0.923,25.333
22,12,27,41.9,25,12,59.6,22.436,0.203,20.465,0.021,18.659,0.009,17.092,0.006,16.244,0.008,99.999,9.999,14.792,0.035,14.259,0.054,14.116,0.055,0.587,22.497
23,13,51,28.49,55,6,56.9,24.158,0.806,21.172,0.035,18.994,0.011,17.693,0.007,16.955,0.011,99.999,9.999,15.675,0.06,15.135,0.085,15.068,0.127,0.337,21.632
24,14,34,33.99,38,41,3.4,25.256,0.728,21.881,0.077,20.062,0.022,18.613,0.011,17.848,0.02,99.999,9.999,16.224,0.096,16.227,0.198,15.583,0.232,0.297,22.428
25,15,20,29.33,14,34,37.0,25.508,0.756,20.42,0.023,18.736,0.01,17.554,0.007,16.928,0.011,99.999,9.999,15.518,0.056,15.006,0.083,14.9,0.11,0.551,22.44
26,15,25,35.9,43,15,45.2,23.504,0.658,20.241,0.023,18.438,0.009,17.366,0.006,16.73,0.01,99.999,9.999,15.436,0.058,15.055,0.09,14.74,0.093,0.309,20.908
27,16,5,19.49,3,5,34.2,24.648,0.977,21.534,0.057,19.993,0.021,18.733,0.012,18.092,0.024,99.999,9.999,16.462,0.118,16.003,0.161,15.767,0.25,0.566,24.018
28,16,40,8.58,11,3,22.7,23.272,0.488,22.133,0.075,20.331,0.023,18.939,0.012,18.237,0.023,99.999,9.999,16.669,0.117,16.204,0.166,16.585,9.999,0.143,21.085
29,16,57,39.57,39,39,48.0,24.436,0.75,21.176,0.036,19.386,0.013,17.842,0.007,17.017,0.011,99.999,9.999,15.576,0.054,15.176,0.096,14.992,0.11,0.207,20.981
30,1,4,48.47,15,35,1.9,25.499,0.781,24.942,0.717,22.245,0.167,20.365,0.048,19.284,0.064,18.484,0.046,17.929,0.052,18.064,0.111,18.077,0.167,0.298,24.61
